CustomerID,Recency,Frequency,Monetary,Cluster
12347,2,7,3056.42,1
12348,249,3,111.08,2
12349,19,1,1105.4,0
12350,310,1,294.40000000000003,2
12352,36,7,1385.74,3
12353,204,1,49.2,2
12354,232,1,930.6800000000001,2
12355,214,1,224.8,2
12356,23,3,668.13,3
12357,33,1,1408.07,3
12358,2,2,142.66,0
12359,58,4,4000.93,3
12360,52,3,1915.3600000000001,3
12361,287,1,189.9,2
12362,3,10,4521.13,1
12363,110,2,413.28,2
12364,8,4,1203.3,1
12365,291,1,320.69,2
12367,4,1,168.9,0
12370,51,4,2030.7,3
12371,60,1,1237.26,3
12372,72,3,797.34,3
12373,311,1,246.60000000000002,2
12374,25,1,570.91,0
12375,11,2,231.9,0
12377,315,2,1173.42,3
12378,130,1,3607.52,3
12379,82,2,690.24,3
12380,22,4,1603.07,3
12381,5,5,1417.31,1
12383,185,5,1413.22,3
12384,29,2,425.27000000000004,0
12386,367,1,144.3,2
12388,16,6,1544.74,1
12390,80,1,504.84000000000003,2
12391,22,1,439.66,0
12393,72,4,1193.5,3
12394,217,1,381.08,2
12395,19,12,2326.18,1
12397,36,2,2036.4,3
12398,46,1,1311.76,3
12399,119,4,944.4,3
12401,303,1,84.3,2
12402,323,1,225.60000000000002,2
12403,50,1,45.9,2
12405,149,1,866.89,2
12406,22,2,1714.14,3
12407,50,5,1213.28,3
12408,33,5,1366.29,3
12409,79,3,181.35,2
12410,309,2,493.73,2
12412,75,3,932.34,3
12413,67,3,656.4,3
12414,217,3,213.21,2
12415,25,12,1128.73,1
12417,3,9,2939.3,1
12418,113,1,428.63,2
12420,64,1,520.99,2
12421,16,4,695.04,3
12422,96,3,683.5600000000001,3
12423,1,8,1683.39,1
12424,163,2,233.92000000000002,2
12425,78,1,536.4,2
12426,195,1,510.73,2
12427,22,3,471.16,0
12428,26,8,4319.58,1
12429,9,4,1220.66,1
12430,43,1,129.0,2
12431,60,13,3728.9700000000003,1
12432,43,4,973.52,3
12433,1,7,5560.7,1
12434,85,2,713.54,3
12436,100,1,207.16,2
12437,2,18,3569.4,1
12438,14,2,1495.05,3
12441,367,1,173.55,2
12442,3,1,172.06,0
12444,21,5,2792.71,1
12445,22,1,77.4,0
12446,58,1,1002.3100000000001,3
12447,243,1,431.49,2
12448,44,1,300.45,0
12449,22,4,3113.09,3
12450,156,2,131.88,2
12451,11,5,5455.9,1
12452,17,1,304.67,0
12453,134,1,707.09,2
12455,73,6,1121.3,3
12456,44,3,1773.76,3
12457,86,2,891.03,3
12458,71,2,631.7,3
12461,155,1,436.08000000000004,2
12462,19,2,937.59,0
12463,53,4,1344.78,3
12464,10,8,317.5,1
12465,17,2,701.39,0
12468,188,2,658.74,3
12471,2,27,6183.8,1
12472,32,7,4895.2300000000005,1
12473,54,3,2326.08,3
12474,17,17,6731.68,1
12475,54,1,543.08,0
12476,16,10,3806.28,1
12477,23,6,3941.9,1
12478,4,1,545.99,0
12479,11,1,473.2,0
12480,28,4,2435.03,3
12481,23,10,3520.42,1
12483,17,7,1182.04,1
12484,35,4,3717.92,3
12488,10,3,764.24,0
12489,336,1,334.93,2
12490,5,10,3910.83,1
12491,39,1,413.6,0
12492,63,2,263.21000000000004,2
12493,166,2,433.74,2
12494,16,7,1206.3,1
12497,82,1,83.4,2
12498,21,3,403.70000000000005,0
12500,23,11,601.24,1
12501,337,1,2025.39,3
12502,96,5,2165.07,3
12504,18,2,92.65,0
12506,233,1,73.5,2
12507,134,2,251.76000000000002,2
12508,26,2,397.88,0
12509,284,1,77.5,2
12510,143,2,499.45,2
12512,66,2,132.18,2
12513,113,1,558.29,2
12514,267,1,836.6800000000001,2
12515,353,1,278.7,2
12516,78,2,164.48000000000002,2
12517,28,4,2337.6,3
12518,1,5,1852.83,1
12519,64,1,276.84000000000003,2
12520,79,5,2260.7400000000002,3
12521,143,1,504.08,2
12522,39,2,192.72,0
12523,19,11,1750.17,1
12524,9,8,2009.62,1
12526,1,3,1244.66,1
12527,82,3,247.91,2
12528,9,6,1473.1299999999999,1
12530,60,4,1052.38,3
12531,15,1,125.22,0
12532,30,1,304.83000000000004,0
12534,131,1,941.38,3
12535,92,2,627.25,3
12536,59,1,3938.41,3
12538,29,1,324.15,0
12539,22,4,4516.650000000001,1
12540,20,17,6890.02,1
12541,30,3,849.48,3
12544,36,1,316.7,0
12545,75,2,832.39,3
12546,47,2,1021.5,3
12547,198,2,207.8,2
12548,166,1,95.19999999999999,2
12550,79,1,824.83,3
12551,358,1,168.0,2
12552,40,1,317.82,0
12553,8,10,3080.06,1
12556,50,2,599.56,3
12557,158,1,81.6,2
12558,8,1,145.16,0
12559,320,1,289.46000000000004,2
12560,5,2,1613.41,0
12561,303,1,238.85,2
12562,8,7,2590.06,1
12564,261,1,402.90000000000003,2
12565,289,1,145.92000000000002,2
12566,86,1,297.65,2
12567,23,10,7322.33,1
12569,2,32,3279.5,1
12571,40,2,519.61,3
12572,9,2,809.22,0
12573,227,1,160.54000000000002,2
12574,316,1,218.45000000000002,2
12576,36,5,1315.83,3
12577,35,3,626.6,3
12578,21,2,2004.6100000000001,3
12579,78,1,386.42,2
12580,247,1,415.7,2
12581,40,1,197.71,0
12582,239,2,351.36,2
12583,3,15,3179.32,1
12584,4,9,1647.2,1
12585,234,2,1378.3,3
12586,17,1,196.94000000000003,0
12587,8,1,20.8,0
12588,39,1,174.89999999999998,0
12589,29,2,541.68,0
12591,317,1,368.85,2
12592,92,2,437.6,3
12593,109,3,378.6,3
12594,47,8,2121.89,1
12596,51,2,384.03,0
12597,19,4,3178.22,1
12598,10,8,2049.86,1
12599,29,7,886.78,3
12600,29,10,802.64,1
12601,190,5,461.51,3
12602,59,1,153.12,2
12604,79,2,254.18,2
12607,60,1,1539.91,3
12609,78,3,1036.85,3
12610,23,4,1668.34,3
12611,52,1,1009.72,3
12612,74,1,270.84000000000003,2
12613,57,5,2607.78,3
12614,278,1,315.6,2
12615,2,4,1605.79,1
12616,95,2,458.8,3
12617,29,1,352.98,0
12618,22,1,137.31,0
12619,16,8,1254.08,1
12620,15,3,1299.41,3
12621,2,18,6779.150000000001,1
12622,232,1,180.1,2
12623,276,1,266.1,2
12624,106,2,641.13,3
12625,212,2,1098.52,3
12626,23,9,4260.15,1
12627,11,6,3618.23,1
12628,4,3,736.46,0
12630,10,2,1030.88,0
12631,57,1,480.5,0
12633,59,4,1498.18,3
12635,90,2,1509.18,3
12637,67,8,4815.09,1
12638,33,1,511.69,0
12639,239,1,366.1,2
12640,24,3,903.32,3
12641,115,1,145.9,2
12642,25,3,734.14,3
12643,172,3,86.24000000000001,2
12644,130,1,477.90999999999997,2
12645,34,4,1181.58,3
12646,5,2,770.85,0
12647,22,12,1677.06,1
12648,155,1,273.3,2
12649,107,3,460.01,3
12650,3,1,147.64000000000001,0
12651,335,1,114.0,2
12652,331,1,747.1800000000001,2
12653,149,2,582.02,3
12654,11,5,601.98,3
12656,17,5,2063.57,1
12657,11,3,704.6800000000001,0
12658,19,1,592.45,0
12659,30,1,91.68,0
12660,11,1,245.10000000000002,0
12662,1,11,3808.1800000000003,1
12664,59,4,144.0,0
12665,325,1,63.0,2
12667,58,1,460.13,0
12668,12,4,2565.93,1
12669,151,2,1427.73,3
12670,10,5,1250.17,1
12672,330,1,133.95,2
12673,5,2,526.52,0
12674,39,4,1407.14,3
12676,25,6,749.39,3
12678,43,6,813.81,3
12679,59,4,812.0600000000001,3
12680,1,4,862.81,1
12681,15,22,9296.58,1
12682,4,31,8496.27,1
12683,4,14,5107.31,1
12684,8,7,1647.99,1
12685,28,6,2401.08,1
12686,372,1,89.14,2
12688,114,1,2466.81,3
12689,26,2,1013.45,3
12690,206,1,285.01,2
12691,28,6,542.6,3
